run_name,timestamp,model_type,n_patches,points_per_patch,freeze_encoder,drop_path_rate,pointcam_checkpoint_path,lr,weight_decay,gamma,batch_size,epochs_requested,epochs_completed,best_train_loss,final_train_loss,final_train_accuracy1,final_train_accuracy2,final_val_loss,final_val_accuracy1,final_val_accuracy2,total_training_time_sec,checkpoint_saved
run056_lr_1e-5,2026-09-07T19:19:19,lane_following,64,32,False,0.1,,1e-05,0.05,0.8,70,10,10,0.0005114017952911569,0.0005114017952911569,"tensor(0.9142, device='cuda:0')","tensor(0.8693, device='cuda:0')",0.0005997771823480958,"tensor(0.9843, device='cuda:0')","tensor(0.9197, device='cuda:0')",232.5,pointcam_shuttle_lane_following.pth
run057_gamma_0.3_very_aggressive,2026-09-07T19:23:17,lane_following,64,32,False,0.1,,0.0001,0.05,0.3,70,10,10,0.0004093005881239056,0.0004093005881239056,"tensor(0.9158, device='cuda:0')","tensor(0.8707, device='cuda:0')",0.0004312389311278502,"tensor(0.9969, device='cuda:0')","tensor(0.9191, device='cuda:0')",230.1,pointcam_shuttle_lane_following.pth
run058_gamma_0.3_very_aggressive,2026-09-07T19:27:16,lane_following,64,32,False,0.1,,0.0001,0.05,0.3,70,10,10,0.00044116202399057547,0.00044116202399057547,"tensor(0.9142, device='cuda:0')","tensor(0.8674, device='cuda:0')",0.00041177213472258706,"tensor(0.9975, device='cuda:0')","tensor(0.9260, device='cuda:0')",231.3,pointcam_shuttle_lane_following.pth
run059_gamma_0.3_very_aggressive,2026-09-07T19:31:14,lane_following,64,32,False,0.1,,0.0001,0.05,0.3,70,10,10,0.0005117987740570558,0.0005174817922982812,"tensor(0.9152, device='cuda:0')","tensor(0.8697, device='cuda:0')",0.00048196568828204583,"tensor(0.9937, device='cuda:0')","tensor(0.9154, device='cuda:0')",229.2,pointcam_shuttle_lane_following.pth
run060_gamma_0.3_very_aggressive,2026-09-07T19:35:12,lane_following,64,32,False,0.1,,0.0001,0.05,0.3,70,10,10,0.00042674872354969446,0.00042674872354969446,"tensor(0.9152, device='cuda:0')","tensor(0.8700, device='cuda:0')",0.0004506302968274837,"tensor(0.9918, device='cuda:0')","tensor(0.9154, device='cuda:0')",229.9,pointcam_shuttle_lane_following.pth
run061_gamma_0.3_very_aggressive,2026-09-07T19:39:10,lane_following,64,32,False,0.1,,0.0001,0.05,0.3,70,10,10,0.00044247865919820904,0.00044247865919820904,"tensor(0.9163, device='cuda:0')","tensor(0.8707, device='cuda:0')",0.0005169244267069807,"tensor(0.9950, device='cuda:0')","tensor(0.9129, device='cuda:0')",230.7,pointcam_shuttle_lane_following.pth
run062_gamma_0.5_aggressive,2026-09-07T19:43:08,lane_following,64,32,False,0.1,,0.0001,0.05,0.5,70,10,10,0.0004306235621495108,0.0004306235621495108,"tensor(0.9108, device='cuda:0')","tensor(0.8729, device='cuda:0')",0.0004710653604104601,"tensor(0.9937, device='cuda:0')","tensor(0.9097, device='cuda:0')",229.5,pointcam_shuttle_lane_following.pth
run063_gamma_0.5_aggressive,2026-09-07T19:47:07,lane_following,64,32,False,0.1,,0.0001,0.05,0.5,70,10,10,0.00046851568515023426,0.00046851568515023426,"tensor(0.9108, device='cuda:0')","tensor(0.8686, device='cuda:0')",0.0004399370296995468,"tensor(0.9950, device='cuda:0')","tensor(0.9129, device='cuda:0')",230.7,pointcam_shuttle_lane_following.pth
run064_gamma_0.5_aggressive,2026-09-07T19:51:04,lane_following,64,32,False,0.1,,0.0001,0.05,0.5,70,10,10,0.0004643166800112649,0.0004643166800112649,"tensor(0.9133, device='cuda:0')","tensor(0.8666, device='cuda:0')",0.00048409285706973,"tensor(0.9925, device='cuda:0')","tensor(0.9197, device='cuda:0')",229.5,pointcam_shuttle_lane_following.pth
run065_gamma_0.5_aggressive,2026-09-07T19:55:02,lane_following,64,32,False,0.1,,0.0001,0.05,0.5,70,10,10,0.0004924097090964221,0.0004924097090964221,"tensor(0.9121, device='cuda:0')","tensor(0.8680, device='cuda:0')",0.00047555695927255204,"tensor(0.9950, device='cuda:0')","tensor(0.9179, device='cuda:0')",230.0,pointcam_shuttle_lane_following.pth
run066_gamma_0.5_aggressive,2026-09-07T19:58:59,lane_following,64,32,False,0.1,,0.0001,0.05,0.5,70,10,10,0.0004870384612704243,0.0005118380172076242,"tensor(0.9158, device='cuda:0')","tensor(0.8642, device='cuda:0')",0.0005687249129562169,"tensor(0.9937, device='cuda:0')","tensor(0.9216, device='cuda:0')",228.4,pointcam_shuttle_lane_following.pth
