run_name,repeat,timestamp,returncode,log_file,n_patches,points_per_patch,freeze_encoder,drop_path_rate,lr,weight_decay,gamma,batch_size
run005_patches_fewer_larger_rep3,3,2026-09-07T14:42:19,2,sweep_logs_bayliss/run005_patches_fewer_larger_rep3.log,32,64,False,0.1,0.0001,0.05,0.8,70
run005_patches_fewer_larger_rep4,4,2026-09-07T14:42:19,2,sweep_logs_bayliss/run005_patches_fewer_larger_rep4.log,32,64,False,0.1,0.0001,0.05,0.8,70
run005_patches_fewer_larger_rep5,5,2026-09-07T14:42:19,2,sweep_logs_bayliss/run005_patches_fewer_larger_rep5.log,32,64,False,0.1,0.0001,0.05,0.8,70
run006_drop_path_0.0_rep1,1,2026-09-07T14:42:19,2,sweep_logs_bayliss/run006_drop_path_0.0_rep1.log,64,32,False,0.0,0.0001,0.05,0.8,70
run006_drop_path_0.0_rep2,2,2026-09-07T14:42:19,2,sweep_logs_bayliss/run006_drop_path_0.0_rep2.log,64,32,False,0.0,0.0001,0.05,0.8,70
run006_drop_path_0.0_rep3,3,2026-09-07T14:42:19,2,sweep_logs_bayliss/run006_drop_path_0.0_rep3.log,64,32,False,0.0,0.0001,0.05,0.8,70
run006_drop_path_0.0_rep4,4,2026-09-07T14:42:19,2,sweep_logs_bayliss/run006_drop_path_0.0_rep4.log,64,32,False,0.0,0.0001,0.05,0.8,70
run006_drop_path_0.0_rep5,5,2026-09-07T14:42:19,2,sweep_logs_bayliss/run006_drop_path_0.0_rep5.log,64,32,False,0.0,0.0001,0.05,0.8,70
run007_drop_path_0.3_rep1,1,2026-09-07T14:42:19,2,sweep_logs_bayliss/run007_drop_path_0.3_rep1.log,64,32,False,0.3,0.0001,0.05,0.8,70
run007_drop_path_0.3_rep2,2,2026-09-07T14:42:19,2,sweep_logs_bayliss/run007_drop_path_0.3_rep2.log,64,32,False,0.3,0.0001,0.05,0.8,70
run007_drop_path_0.3_rep3,3,2026-09-07T14:42:19,2,sweep_logs_bayliss/run007_drop_path_0.3_rep3.log,64,32,False,0.3,0.0001,0.05,0.8,70
run007_drop_path_0.3_rep4,4,2026-09-07T14:42:19,2,sweep_logs_bayliss/run007_drop_path_0.3_rep4.log,64,32,False,0.3,0.0001,0.05,0.8,70
run007_drop_path_0.3_rep5,5,2026-09-07T14:42:19,2,sweep_logs_bayliss/run007_drop_path_0.3_rep5.log,64,32,False,0.3,0.0001,0.05,0.8,70
run008_weight_decay_0.0_rep1,1,2026-09-07T14:42:19,2,sweep_logs_bayliss/run008_weight_decay_0.0_rep1.log,64,32,False,0.1,0.0001,0.0,0.8,70
run008_weight_decay_0.0_rep2,2,2026-09-07T14:42:19,2,sweep_logs_bayliss/run008_weight_decay_0.0_rep2.log,64,32,False,0.1,0.0001,0.0,0.8,70
run008_weight_decay_0.0_rep3,3,2026-09-07T14:42:19,2,sweep_logs_bayliss/run008_weight_decay_0.0_rep3.log,64,32,False,0.1,0.0001,0.0,0.8,70
run008_weight_decay_0.0_rep4,4,2026-09-07T14:42:19,2,sweep_logs_bayliss/run008_weight_decay_0.0_rep4.log,64,32,False,0.1,0.0001,0.0,0.8,70
run008_weight_decay_0.0_rep5,5,2026-09-07T14:42:19,2,sweep_logs_bayliss/run008_weight_decay_0.0_rep5.log,64,32,False,0.1,0.0001,0.0,0.8,70
